START	END	SITES
52	9766	167
10859	26207	110
27495	41042	98
42370	47212	34
48311	53087	30
54395	115870	632
117364	120312	26
121511	147419	144
148659	170776	379
172022	226047	374
227218	234088	45
235413	261774	175
263357	267000	16
268230	268611	4
270068	299451	187
301303	301355	2
302500	310583	58
312000	332596	92
333751	344054	44
345072	351627	34
353135	356384	10
357881	365643	22
366954	367953	7
369469	369469	1
371906	381007	43
382211	402405	77
403436	403436	1
404676	427810	155
428997	442286	91
443404	451811	53
452849	470294	199
471437	477627	31
478733	479148	10
480995	482297	8
483330	484754	7
485783	485845	3
488172	490682	13
491888	504973	75
506699	531099	150
532111	537400	39
538461	543561	24
544610	583460	191
584902	592973	50
594230	595390	15
596464	607829	63
608948	640511	196
641664	643551	8
644853	686277	253
687708	742768	293
743984	749024	56
750473	754269	19
755379	756131	4
757229	757793	2
759213	760299	8
761627	769376	46
770509	773054	11
774379	783625	41
784662	790169	43
791316	819363	286
820377	820377	1
822252	824307	14
825324	826449	9
827489	842712	144
843763	877339	193
878590	887845	40
888942	889373	4
890562	902822	127
904021	918708	80
919885	927548	44
928655	928692	2
929871	958688	161
959743	961843	10
962936	972220	61
973567	981172	38
982388	990058	39
991283	999039	38
1000051	1000051	1
1001076	1007741	63
1008842	1023555	79
1025592	1031862	32
1032984	1033753	6
1034901	1041804	29
1043150	1067119	116
1068551	1070990	14
1072286	1072573	2
1073620	1079224	27
1080507	1085741	20
1087079	1087642	8
1088830	1104072	74
1105443	1117921	75
1119151	1120888	13
1122129	1125555	20
1126567	1136103	59
1137820	1138700	4
1139773	1141207	11
1142306	1155900	84
1157218	1168302	89
1169484	1169557	2
1170906	1177970	53
1179059	1201833	132
1202869	1203534	3
1204913	1204913	1
1205963	1212282	21
1213489	1215002	15
1216163	1230751	91
1231924	1242523	56
1244950	1259878	125
1260936	1272624	69
1274336	1275330	6
1276360	1277803	4
1279047	1289424	45
1290783	1295873	25
1296900	1304529	55
1306196	1309607	16
1310958	1312308	7
1313453	1339915	196
1340920	1342294	15
1343433	1345968	11
1347180	1357623	52
1359040	1369148	47
1370334	1393753	132
1394877	1402320	34
1403346	1437952	219
1439114	1441453	11
1442493	1454148	58
1456770	1460755	15
1461830	1479622	101
1480721	1480882	2
1481895	1485912	31
1487416	1494074	38
1495471	1499423	22
1500883	1509301	42
1510522	1518163	73
1519184	1520213	9
1521336	1521657	2
1523082	1529694	26
1530794	1530794	1
1531887	1567770	182
1569010	1581047	94
1582426	1585538	11
1586613	1594436	24
1595553	1597001	10
1598132	1601784	20
1602786	1610167	27
1611832	1623601	61
1625417	1629033	56
1630335	1632579	6
1634340	1641582	43
1642648	1647348	16
1649090	1651594	17
1653130	1669542	62
1670675	1674954	14
1676285	1685760	68
1687070	1709945	94
1711134	1711929	11
1713228	1719072	38
1720334	1720334	1
1721920	1742157	136
1743362	1746568	34
1747635	1768830	148
1770143	1774706	32
1775849	1790756	106
1791928	1817773	127
1818797	1840364	117
1841477	1844841	19
1846230	1854131	68
1856646	1862647	42
1864839	1866718	12
1867872	1870570	13
1871576	1877736	49
1878956	1879655	3
1881261	1883185	26
1884439	1893138	78
1894138	1898969	31
1900002	1918949	101
1920500	1922151	21
1923222	1928192	17
1929193	1929217	2
1930403	1950052	113
1951096	1959723	56
1960902	1960902	1
1962149	1962149	1
1964243	1980499	96
1982116	2018002	217
2019187	2042520	163
2043673	2048083	22
2049770	2068591	82
2070127	2080863	56
2082094	2090846	61
2091862	2106045	70
2107297	2107451	2
2108806	2112115	16
2113230	2119163	89
2120422	2124954	34
2126178	2136640	53
2137651	2137703	2
2138832	2146332	55
2147430	2153649	20
2155176	2157677	15
2158884	2202239	333
2203980	2214852	60
2215932	2235258	342
2236491	2276032	311
2277235	2295273	123
2296516	2352088	398
2353307	2362284	54
2363289	2376539	62
2377545	2379976	17
2381538	2398474	89
2399705	2414064	86
2415373	2456546	265
2457586	2490371	195
2491400	2494353	25
2496130	2524168	148
2525550	2525604	2
2526959	2537015	75
2538559	2581166	461
2582462	2638325	475
2639502	2659881	126
2660942	2692775	151
2694107	2706444	100
2707803	2720535	77
2721878	2722419	5
2723955	2738744	114
2739765	2774573	175
2775875	2775875	1
2776879	2800062	163
2801229	2805581	19
2807771	2834537	214
2835671	2841994	31
2842998	2869203	188
2871308	2879690	61
2881066	2896026	84
2897163	2902007	15
