START	END	SITES
---------------------------------------------------------
52	400	26
917	3296	26
3839	4186	4
4760	6804	54
7314	7315	1
7861	9767	56
10859	13269	16
13942	20028	63
20747	20982	4
21757	22913	9
23769	25181	13
25861	26208	5
27495	29126	10
29757	30470	5
31299	32915	14
33717	41043	69
42370	44220	15
44786	46149	9
46944	47213	10
48311	50278	20
50841	50934	3
51549	53088	7
54395	55232	10
55794	64507	173
65051	66104	13
66688	77735	113
78420	82293	29
83132	84851	23
85404	87409	25
87990	91140	35
91716	93882	12
94387	97360	34
98022	100319	13
100919	101426	16
101931	107167	55
107917	107918	1
108549	113179	57
114017	115002	20
115626	115871	3
117364	118830	13
119481	119757	12
120312	120313	1
121511	121711	2
122354	122973	9
123807	124668	10
125251	126537	16
127064	127433	3
128037	130931	22
131624	131625	1
132474	134156	23
134669	134670	1
135218	141531	41
142090	143543	7
144243	144599	2
145280	145281	1
145916	147420	6
148659	151360	30
152050	163563	291
164082	166737	21
167316	170777	37
172022	172157	2
172936	178521	35
179130	179131	1
179991	187253	55
188129	188130	1
189084	189580	3
190115	191909	15
192448	199098	57
199702	200111	2
200612	201654	8
202338	204287	22
205049	206139	14
207135	207527	6
208156	208563	9
209555	209986	4
210960	210961	1
211616	212585	8
213447	214448	5
215289	220634	82
221355	224954	41
225567	226048	3
227218	229166	14
230142	234089	31
235413	242207	71
243130	243986	14
244487	244827	5
245488	245875	4
246828	247051	3
247620	248628	7
249317	252078	31
252919	253368	5
254000	254340	2
255304	256040	3
256542	257329	5
257876	261775	25
263357	264739	10
265647	266126	3
266764	267001	3
268230	268612	4
270068	270230	3
271113	272317	7
273215	274974	10
275798	275799	1
276437	276834	3
277437	282173	35
282954	284918	24
285869	287489	6
288189	288393	2
288964	292849	62
293423	293743	3
294287	295379	11
295972	296554	5
297334	299452	15
301303	301356	2
302500	307945	43
308703	309139	3
309812	310584	12
312000	316710	21
317387	317855	5
318569	319576	5
320266	321015	6
321910	321911	1
322672	324548	12
325474	326072	5
326905	330786	31
331497	331904	4
332544	332597	2
333751	334893	9
335538	336118	6
336681	337994	9
338885	338886	1
339694	339786	2
340440	341295	7
341963	343226	9
344054	344055	1
345072	345141	2
345874	346189	3
347093	349356	15
350018	351628	14
353135	353650	5
354218	354219	1
354995	354996	1
355771	355791	2
356384	356385	1
357881	358392	4
359017	359018	1
359655	359656	1
360315	360594	3
361308	361519	2
362220	362257	2
363017	363256	2
364201	364885	5
365404	365644	2
366954	367954	7
369469	369470	1
371906	374537	19
375073	376206	5
376772	377125	5
377664	378156	5
378680	380336	8
381007	381008	1
382211	382287	2
382799	382800	1
383371	383754	7
384254	385153	5
385796	386085	4
386944	386945	1
387650	391204	20
391915	391916	1
392590	395346	13
396339	396945	5
397486	397487	1
398022	398193	2
398842	399820	9
400600	400601	1
401405	402406	5
403436	403437	1
404676	405312	5
406054	408811	35
409555	410232	5
411153	412647	17
413330	415205	15
415824	418338	22
419306	420245	9
421004	422469	8
423249	423341	2
423872	425197	7
425863	427198	29
427810	427811	1
428997	429029	2
429802	431070	12
431744	433107	9
433745	433746	1
434274	436067	19
436588	439265	32
439813	440982	9
441858	442287	7
443404	444296	13
445261	445659	4
446271	451812	36
452849	462915	160
463451	466454	24
467039	468557	10
469076	469364	2
470058	470295	3
471437	472591	11
473380	473381	1
474042	474911	4
475516	476169	4
477023	477628	11
478733	479149	10
480995	482298	8
483330	483331	1
483976	484755	6
485783	485846	3
488172	488567	3
489309	490683	10
491888	494226	20
495042	496079	13
496834	497409	3
498073	501709	28
502362	502451	2
503253	503254	1
503911	504974	8
506699	508837	16
509357	509922	4
510563	513288	30
514120	516639	15
517184	517911	5
518623	519730	12
520443	527442	44
527956	529957	18
530483	531100	6
532111	533731	22
534243	535587	10
536364	536475	2
537067	537401	5
538461	538462	1
539003	542213	16
542735	543562	7
544610	544611	1
545244	550880	30
551502	551952	5
552692	555729	27
556485	556854	2
557500	558387	5
559336	560167	4
560995	561963	6
562483	563203	4
563903	564364	4
565045	565521	4
566193	566335	2
566939	566940	1
567469	569418	17
569919	570698	11
571245	572523	9
573226	575450	17
576297	576370	2
577119	578040	5
578831	580528	10
581277	581278	1
582083	583461	24
584902	585001	2
585610	585884	2
586506	588395	13
588894	589236	4
589988	592974	29
594230	595391	15
596464	596484	2
597347	598375	7
599357	601190	10
601815	602593	7
603119	604098	16
604649	604650	1
605165	605517	4
606427	606957	13
607692	607830	3
608948	613089	32
613670	614037	6
614764	614765	1
615670	615671	1
616238	616769	3
617663	619700	13
620424	622267	18
622894	630205	69
631103	632734	10
633292	636175	24
636692	637108	7
637716	639261	10
639760	639761	1
640511	640512	1
641664	642625	7
643551	643552	1
644853	648142	23
648800	648801	1
649361	649362	1
650082	651471	8
652257	654507	24
655050	655201	2
655720	657205	10
658134	659434	7
660043	660936	5
661543	670367	102
670919	672747	24
673651	673965	3
674962	675154	3
675708	678072	11
678952	678953	1
679748	679749	1
680341	680697	3
681334	683306	9
683942	684978	11
685724	686278	4
687708	687838	2
688535	693188	32
694080	696361	16
696864	698380	14
699180	699654	6
700618	700992	5
701502	701784	4
702339	703447	9
704120	705188	6
705939	705989	2
706559	706560	1
707163	708429	7
709150	710580	9
711271	711272	1
711857	711897	2
712720	713321	7
713824	714051	6
714819	716043	7
716859	717683	7
718375	719335	8
720033	722779	20
723612	723740	2
724324	724359	2
725116	729330	36
730021	730172	2
731013	732628	9
733366	733749	5
734378	735493	21
736313	742769	45
743984	746603	45
747423	749025	11
750473	751762	7
752346	752905	3
753476	754270	9
755379	755533	3
756131	756132	1
757229	757230	1
757793	757794	1
759213	760300	8
761627	763847	11
764505	766630	20
767503	769377	15
770509	770684	2
771258	773055	9
774379	774380	1
775302	775626	2
776390	778489	18
779380	781710	15
782268	783626	5
784662	785571	7
786121	787444	24
