START	END	SITES
---------------------------------------------------------
52	9767	167
10859	26208	110
27495	41043	98
42370	47213	34
48311	53088	30
54395	115871	632
117364	120313	26
121511	147420	144
148659	170777	379
172022	226048	374
227218	234089	45
235413	261775	175
263357	267001	16
268230	268612	4
270068	299452	187
301303	301356	2
302500	310584	58
312000	332597	92
333751	344055	44
345072	351628	34
353135	356385	10
357881	365644	22
366954	367954	7
369469	369470	1
371906	381008	43
382211	402406	77
403436	403437	1
404676	427811	155
428997	442287	91
443404	451812	53
452849	470295	199
471437	477628	31
478733	479149	10
480995	482298	8
483330	484755	7
485783	485846	3
488172	490683	13
491888	504974	75
506699	531100	150
532111	537401	39
538461	543562	24
544610	583461	191
584902	592974	50
594230	595391	15
596464	607830	63
608948	640512	196
641664	643552	8
644853	686278	253
687708	742769	293
743984	749025	56
750473	754270	19
755379	756132	4
757229	757794	2
759213	760300	8
761627	769377	46
770509	773055	11
774379	783626	41
784662	790170	43
791316	819364	286
820377	820378	1
822252	824308	14
825324	826450	9
827489	842713	144
843763	877340	193
878590	887846	40
888942	889374	4
890562	902823	127
904021	918709	80
919885	927549	44
928655	928693	2
929871	958689	161
959743	961844	10
962936	972221	61
973567	981173	38
982388	990059	39
991283	999040	38
1000051	1000052	1
1001076	1007742	63
1008842	1023556	79
1025592	1031863	32
1032984	1033754	6
1034901	1041805	29
1043150	1067120	116
1068551	1070991	14
1072286	1072574	2
1073620	1079225	27
1080507	1085742	20
1087079	1087643	8
1088830	1104073	74
1105443	1117922	75
1119151	1120889	13
1122129	1125556	20
1126567	1136104	59
1137820	1138701	4
1139773	1141208	11
1142306	1155901	84
1157218	1168303	89
1169484	1169558	2
1170906	1177971	53
1179059	1201834	132
1202869	1203535	3
1204913	1204914	1
1205963	1212283	21
1213489	1215003	15
1216163	1230752	91
1231924	1242524	56
1244950	1259879	125
1260936	1272625	69
1274336	1275331	6
1276360	1277804	4
1279047	1289425	45
1290783	1295874	25
1296900	1304530	55
1306196	1309608	16
1310958	1312309	7
1313453	1339916	196
1340920	1342295	15
1343433	1345969	11
1347180	1357624	52
1359040	1369149	47
1370334	1393754	132
1394877	1402321	34
1403346	1437953	219
1439114	1441454	11
1442493	1454149	58
1456770	1460756	15
1461830	1479623	101
1480721	1480883	2
1481895	1485913	31
1487416	1494075	38
1495471	1499424	22
1500883	1509302	42
1510522	1518164	73
1519184	1520214	9
1521336	1521658	2
1523082	1529695	26
1530794	1530795	1
1531887	1567771	182
1569010	1581048	94
1582426	1585539	11
1586613	1594437	24
1595553	1597002	10
1598132	1601785	20
1602786	1610168	27
1611832	1623602	61
1625417	1629034	56
1630335	1632580	6
1634340	1641583	43
1642648	1647349	16
1649090	1651595	17
1653130	1669543	62
1670675	1674955	14
1676285	1685761	68
1687070	1709946	94
1711134	1711930	11
1713228	1719073	38
1720334	1720335	1
1721920	1742158	136
1743362	1746569	34
1747635	1768831	148
1770143	1774707	32
1775849	1790757	106
1791928	1817774	127
1818797	1840365	117
1841477	1844842	19
1846230	1854132	68
1856646	1862648	42
1864839	1866719	12
1867872	1870571	13
1871576	1877737	49
1878956	1879656	3
1881261	1883186	26
1884439	1893139	78
1894138	1898970	31
1900002	1918950	101
1920500	1922152	21
1923222	1928193	17
1929193	1929218	2
1930403	1950053	113
1951096	1959724	56
1960902	1960903	1
1962149	1962150	1
1964243	1980500	96
1982116	2018003	217
2019187	2042521	163
2043673	2048084	22
2049770	2068592	82
2070127	2080864	56
2082094	2090847	61
2091862	2106046	70
2107297	2107452	2
2108806	2112116	16
2113230	2119164	89
2120422	2124955	34
2126178	2136641	53
2137651	2137704	2
2138832	2146333	55
2147430	2153650	20
2155176	2157678	15
2158884	2202240	333
2203980	2214853	60
2215932	2235259	342
2236491	2276033	311
2277235	2295274	123
2296516	2352089	398
2353307	2362285	54
2363289	2376540	62
2377545	2379977	17
2381538	2398475	89
2399705	2414065	86
2415373	2456547	265
2457586	2490372	195
2491400	2494354	25
2496130	2524169	148
2525550	2525605	2
2526959	2537016	75
2538559	2581167	461
2582462	2638326	475
2639502	2659882	126
2660942	2692776	151
2694107	2706445	100
2707803	2720536	77
2721878	2722420	5
2723955	2738745	114
2739765	2774574	175
2775875	2775876	1
2776879	2800063	163
2801229	2805582	19
2807771	2834538	214
2835671	2841995	31
2842998	2869204	188
2871308	2879691	61
2881066	2896027	84
2897163	2902008	15
2903328	2914241	74
2915696	2935110	114
2936129	2942414	26
2943516	2949926	43
2950925	2992386	192
2993448	2996886	20
2998023	3006589	43
3007793	3031160	115
3032441	3071564	255
3072803	3084827	46
3085965	3093240	46
3094503	3094504	1
3095598	3099165	16
3100210	3109926	64
3111344	3117724	24
3118825	3146727	185
3148030	3151903	24
3152930	3166438	184
3168203	3170543	10
3171613	3172306	2
3173765	3182195	58
3183793	3187829	23
3189209	3192709	23
3193762	3193763	1
3194802	3220888	125
3222042	3228723	58
3230105	3233484	17
3234499	3240399	26
3241905	3246687	17
3247900	3262899	91
3264048	3264747	3
3265945	3266111	4
3267240	3270394	21
3271802	3273617	12
3275374	3275441	2
3276506	3285905	48
3287025	3287026	1
3288596	3297309	83
3298388	3314086	116
3315304	3315305	1
3316800	3326487	66
3327528	3349463	102
3350689	3350881	3
3352078	3378491	149
3379772	3381854	7
3383278	3389460	28
3390603	3390965	3
3392155	3393551	11
3394580	3404617	47
3405938	3431195	110
3432313	3433461	5
3434665	3436990	13
3438033	3442501	12
3444911	3449030	27
3450889	3457350	36
3458560	3493044	610
3494208	3537069	339
3538455	3540221	7
3541712	3577099	177
3578917	3696294	839
3697680	3699680	10
3700717	3716373	101
3717520	3727154	52
3728451	3731221	13
3733275	3736829	17
3737877	3748253	92
3749816	3767470	471
3768555	3794572	145
3795614	3797215	10
3798525	3800601	17
3801741	3825524	135
3826676	3838174	50
3839222	3843024	16
3844210	3854018	61
3855116	3869238	43
3870849	3877957	35
3879280	3894693	113
3895795	3896282	2
3897807	3906957	57
3908031	3910469	16
3911571	3912058	2
3913583	3922732	57
3923829	3928256	21
3929408	3943096	76
3944319	3950697	28
3951754	3963385	52
3965038	3972131	45
3973532	3996715	108
3998049	4010196	74
4011240	4021498	42
4022558	4024015	8
4025148	4043972	73
4045452	4053523	48
4054634	4063930	44
4064960	4069597	21
4071015	4091558	146
4092906	4114932	122
4116077	4165778	647
4166848	4174020	69
4175454	4224921	427
4225939	4237695	83
4238731	4296717	469
4297813	4316629	160
4317651	4368659	383
4369706	4379403	101
4380708	4382569	12
4383709	4391259	47
4392383	4406030	52
4407254	4409289	10
4410482	4439270	226
4440386	4453322	104
4454923	4623991	1981
4625125	4673233	319
4674294	4688080	76
4689225	4701940	86
4702960	4737717	210
4739019	4746791	68
4748005	4754103	44
4755667	4769253	95
4770289	4810651	336
4812075	4821561	78
4822758	4842116	152
4843474	4851831	70
4853122	4900046	455
4901385	4916127	146
4917202	4920809	36
4922353	4940693	105
4941934	4983431	221
4984494	5013771	162
5015128	5025957	37
5027068	5080789	291
5081829	5092468	43
5093516	5101702	42
5103212	5103743	5
5104750	5114606	47
5115647	5120465	18
5121568	5130031	35
5131344	5134291	10
5135694	5143882	26
5145275	5147211	10
5148405	5156527	34
5157949	5187708	155
5188857	5189743	6
5191210	5198496	26
5199513	5217116	83
5218482	5241941	108
5242946	5244126	8
5245183	5247518	15
5249162	5280681	140
5281706	5289980	42
5291127	5293061	10
5294786	5309656	65
5311699	5325068	59
5326229	5328147	6
5329609	5331978	16
5333548	5333549	1
5334696	5350732	137
5351815	5384219	192
5385256	5387280	17
5388294	5394724	27
5396316	5400026	19
5401123	5427620	159
5429434	5454383	168
5456537	5467841	84
5469027	5479929	135
5481037	5488030	28
5489127	5507532	192
5508943	5533685	205
5534773	5576006	210
5577170	5585511	31
5586526	5606908	98
5607932	5619758	59
5621868	5667035	223
5668211	5670179	11
5671320	5681881	58
5683011	5697563	70
5698915	5705602	28
5706662	5707575	5
5708626	5710293	13
5711362	5716867	21
5718012	5736463	105
5737645	5931859	1407
5932965	5988069	394
5989221	6001269	62
6002299	6007964	30
6009088	6015724	34
6017132	6036284	110
6037457	6037458	1
6038782	6043467	38
6044776	6049222	24
6050275	6052531	14
6053818	6058061	25
6059063	6059868	6
6061116	6061281	2
6062483	6066720	19
6067733	6076025	66
6077256	6079417	11
6080589	6095693	97
6097001	6129514	245
6130592	6152082	184
6153780	6160611	53
6161659	6183856	119
6184924	6202172	134
6203380	6251270	374
6252560	6258841	37
6260028	6268255	37
6269331	6280730	40
6281790	6289656	54
6290923	6302486	61
6303618	6310534	38
6311867	6312062	2
6313264	6313727	6
6314890	6319186	23
6320456	6343581	138
6345106	6360845	142
6361912	6373504	56
6375247	6379662	12
6381347	6409565	178
6410864	6411149	2
6412454	6434415	186
6435441	6442353	50
6443552	6454647	112
6455758	6648402	3603
6649693	6702992	500
6704037	6704632	7
6706303	6727432	145
6729875	6737579	103
6738923	6746591	39
6747591	6755120	72
6757066	6768917	54
6770445	6790475	121
6791600	6922035	937
6923656	6962518	188
6963904	6996172	283
6997249	7022071	252
7023281	7034624	73
7035760	7041939	29
7043136	7114435	478
7115694	7124378	45
7125537	7140367	105
7141727	7151304	114
7152366	7156705	30
7157989	7163093	31
7164094	7207327	428
7208349	7220750	93
7221760	7222753	6
7223817	7313124	1231
7314308	7318377	35
7319527	8016587	6007
8017719	8165578	1853
8166631	8179035	87
8180127	8187131	27
8188252	8188265	2
8189495	8208558	121
8209627	8268725	1115
8269864	8275010	38
8276820	8277529	4
8278680	8282358	30
8283598	8319229	220
8320302	8654070	6478
8655176	8673410	172
8674523	8714880	434
8715971	8734319	140
8735568	8737715	12
8738847	8753676	116
8754776	8785991	159
8787092	8805890	175
8807100	8831659	357
8833033	8834865	7
8836173	8873523	366
8874533	8952273	439
8953605	8953707	2
8954777	8968514	57
8970657	8980651	60
8981834	8982422	5
8983445	8990343	41
8991416	9052239	396
9053271	9065077	72
9066554	9066736	3
9067795	9081322	70
9082834	9085257	9
9086523	9086524	1
9087809	9203125	926
9204233	9326862	1516
9327875	9381236	513
9383266	9425823	378
9427003	9459930	214
9462453	9484873	146
9486032	9617278	1129
9618612	9707910	697
9709029	9712131	26
9713943	9735152	144
9736171	9757835	184
9759304	9759722	22
9760816	9809558	474
9811010	9833159	119
9834266	9839424	31
9840454	9865753	188
9867084	9901424	210
9903086	9912161	46
9913235	9913236	1
9914373	9915350	25
9916863	9922497	41
9923761	9927364	25
9928503	9951800	140
9952944	9953944	8
9955179	9958823	17
9959844	9976382	118
9977607	9991389	91
9992475	9996571	27
9997719	10038083	232
10039135	10046818	36
10048325	10063404	125
10064713	10066654	8
10067666	10140445	515
10141606	10204255	542
10205372	10205642	2
10206701	10231129	215
10232165	10238622	70
10239924	10288291	301
10289299	10298977	60
10300071	10324647	202
10325756	10325820	2
10327097	10334390	65
10335495	10359544	279
10360547	10401678	239
10403113	10408629	29
10410017	10415501	28
10416650	10423240	39
10424318	10438456	120
10439859	10447100	51
10448360	10457157	37
10458700	10462049	17
10463132	10477715	54
10478947	10480840	7
10481902	10509437	152
10511062	10511942	8
10513357	10524896	62
10526019	10541924	67
10543048	10543603	4
10544733	10544744	2
10545928	10556955	70
10558232	10579416	287
10580494	10633705	570
10635208	10676646	342
10677714	10715646	314
10716684	10731152	99
10732933	10733379	7
10734550	10786886	382
10787947	10815623	168
10816923	10834667	138
10836246	10944462	1090
10945519	10945804	4
10946912	10959897	86
10961255	10978404	92
10979909	10982528	10
10983959	10993490	46
10994748	11006242	55
11007951	11023832	44
11025574	11061712	195
11062718	11064753	35
11066237	11083583	103
11084868	11091823	39
11093028	11113322	125
11114880	11122226	23
11123377	11130657	44
11131898	11157882	117
11159338	11192248	214
11194030	11195443	14
11196700	11197414	9
11198885	11199040	2
11200066	11223070	101
11224421	11229825	26
11230963	11237735	29
11238956	11239230	3
11240573	11246134	32
11247353	11276416	148
11277445	11289620	75
11291195	11293821	12
11294821	11305818	119
11307153	11311353	24
11312460	11316682	28
11317698	11327131	55
11328243	11332621	21
11333650	11349438	115
11350570	11367578	142
11369056	11384101	168
11385457	11398869	189
11399878	11405697	40
11406868	11421919	92
11422923	11430922	45
11432007	11503519	614
11504611	11505064	7
11506203	11551474	236
11552597	11554669	12
11556304	11577294	110
11578381	11587558	65
11588634	11589370	2
11590474	11605899	96
11606965	11633557	139
11634711	11636102	6
11637455	11645090	41
11646415	11671473	195
11672909	11677307	30
11678352	11696654	100
11697883	11704118	93
11705325	11711635	54
11712816	11745697	156
11746798	11747788	15
11749475	11772683	161
11774491	11775693	6
11777057	11807514	153
11808754	11846099	208
11847214	11863046	84
11864476	11866881	13
11869019	11872478	17
11873507	11875136	8
11876497	11879994	21
11881240	11903474	111
11904990	11917170	63
11918742	11922946	44
11924016	11937470	67
11938505	11955416	70
11956447	11971406	100
11972498	11994727	118
11996611	11997742	7
11999117	12028977	217
12030007	12038894	45
12040011	12055098	99
12056586	12059132	35
12060134	12064690	26
12066111	12081218	74
12082294	12165755	472
12166845	12186931	101
12188230	12194902	40
12195984	12236873	324
12238058	12259672	88
12260948	12274209	80
12275409	12287215	64
12288376	12354936	587
12356038	12367841	75
12369063	12391783	119
12393578	12408857	97
12410259	12433547	129
12434710	12439027	24
12440104	12444320	22
12445470	12465732	128
12467535	12483770	84
12485212	12486902	19
12487953	12510805	104
12512095	12517198	21
12519214	12536878	98
12537880	12543403	30
12544935	12550496	35
12551522	12558136	21
12559153	12568513	38
12569610	12606419	198
12607450	12631383	121
12632438	12645706	73
12646839	12664839	88
12665961	12674986	42
12676354	12681302	47
12682534	12694482	65
12695983	12711530	84
12712782	12738444	108
12739961	12740181	2
12741191	12742149	5
12743345	12781450	253
12782530	12782723	4
12783954	12812297	146
12814181	12823182	45
12824410	12832092	37
12834050	12851397	95
12852644	12869111	68
12870181	12870510	2
12871816	12874383	11
12875705	12879890	18
12881366	12901293	124
12902352	12925187	103
12926457	12929606	16
12931201	12936364	16
12937863	12937864	1
12939279	12951030	53
12952326	12957522	31
12959122	12959503	5
12960518	12985463	93
12986465	12998900	67
13000158	13006689	31
13007737	13021611	110
13022794	13024291	9
13025402	13025403	1
13026444	13052584	163
13054527	13084594	179
13085685	13108965	144
13110021	13112596	13
13114287	13140401	255
13141526	13166789	100
13168242	13169660	14
13171215	13180682	50
13181723	13209337	255
13211028	13213618	13
13214674	13237958	144
13239049	13269119	180
13271060	13301845	169
13302999	13330819	165
13332027	13347089	58
13348113	13349174	5
13350186	13360859	45
13361997	13367416	40
13368854	13392254	122
13393428	13396362	19
13397597	13409762	55
13410797	13415057	18
13416177	13416617	4
13417633	13428412	67
13429774	13437872	31
13439069	13446258	56
13448093	13450805	11
13452355	13457795	25
13458826	13468444	75
13469825	13470891	24
13472023	13496665	123
13497701	13499630	14
13502175	13522010	154
13523267	13527468	23
13528558	13565246	162
13566418	13566570	2
13568166	13569038	7
13570086	13579852	33
13581098	13583981	16
13585438	13593352	30
13594352	13604327	81
13605625	13611636	27
13612908	13625234	94
13626315	13630250	21
13631267	13635166	17
13636240	13650123	97
13651252	13654955	20
13656406	13686208	192
13687265	13689908	9
13691506	13706851	113
13707923	13710160	15
13711345	13727971	104
13728992	13737002	46
13738154	13738155	1
13739170	13753169	74
13754411	13754785	4
13755935	13765782	45
13766842	13783291	110
13784744	13791692	31
13792933	13829224	221
13830358	13846743	74
13847747	13863476	113
13864627	13865864	5
13866896	13870851	24
13871987	13874405	10
13875606	13890918	140
13891937	13947260	436
13948284	13960289	63
13961333	13993514	138
13994565	13995635	5
13996666	14008512	64
14009697	14017950	35
14018985	14030517	88
14032093	14041442	46
14042694	14043315	2
